"canopy_ant_1","canopy_ant_2","canopy_ant_3","canopy_ant_4","canopy_ant_5","canopy_ant_6","canopy_ant_7","canopy_ant_8","canopy_ant_9","canopy_ant_10","canopy_ant_11","canopy_ant_12","canopy_ant_13","canopy_ant_14","canopy_ant_15","canopy_ant_16","canopy_ant_17","canopy_ant_18","canopy_ant_19","canopy_ant_20","canopy_ant_21","canopy_ant_22","canopy_ant_23","canopy_ant_24","canopy_ant_25","canopy_ant_26","canopy_ant_27","canopy_ant_28","canopy_ant_29","canopy_ant_30","canopy_ant_31","canopy_ant_32","canopy_ant_33","canopy_ant_34","canopy_ant_35","canopy_ant_36","canopy_ant_37","canopy_ant_38","canopy_ant_39","canopy_ant_40","canopy_ant_41","canopy_ant_42","canopy_ant_43","canopy_ant_44","canopy_ant_45","canopy_ant_46","canopy_ant_47","canopy_ant_48","canopy_ant_49","canopy_ant_50","canopy_ant_51","canopy_ant_52","canopy_ant_53","canopy_ant_54","canopy_ant_55","canopy_ant_56","canopy_ant_57","canopy_ant_58","canopy_ant_59","canopy_ant_60","canopy_ant_61","canopy_ant_62","canopy_ant_63","canopy_ant_64","canopy_ant_65","canopy_ant_66","canopy_ant_67","canopy_ant_68","canopy_ant_69","canopy_ant_70","canopy_ant_71","canopy_ant_72","canopy_ant_73","canopy_ant_74","canopy_ant_75","canopy_ant_76","canopy_ant_77","canopy_ant_78","canopy_ant_79","canopy_ant_80","canopy_ant_81","canopy_ant_82","canopy_ant_83","canopy_ant_84","canopy_ant_85","canopy_ant_86","canopy_ant_87","canopy_ant_88","canopy_ant_89","canopy_ant_90","canopy_ant_91","canopy_ant_92","canopy_ant_93","canopy_ant_94","canopy_ant_95","canopy_ant_96","canopy_ant_97","canopy_ant_98","canopy_ant_99","canopy_ant_100","canopy_ant_101","canopy_ant_102","canopy_ant_103","canopy_ant_104","canopy_ant_105","canopy_ant_106","canopy_ant_107","canopy_ant_108","canopy_ant_109","canopy_ant_110","canopy_ant_111","canopy_ant_112","canopy_ant_113","canopy_ant_114","canopy_ant_115","canopy_ant_116","canopy_ant_117","canopy_ant_118","canopy_ant_119","canopy_ant_120","canopy_ant_121","canopy_ant_122","canopy_ant_123","canopy_ant_124","canopy_ant_125","canopy_ant_126","canopy_ant_127","canopy_ant_128"
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
