"lion_infection_1","lion_infection_2","lion_infection_3","lion_infection_4","lion_infection_5"
0,1,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,0,0,1
1,0,1,0,1
1,1,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,1,1
0,0,1,1,0
0,0,1,0,0
0,1,1,1,0
1,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
1,0,0,0,0
0,1,1,0,0
0,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,0,0
0,1,1,0,1
1,1,0,0,1
1,0,1,0,0
0,1,0,0,1
0,1,1,0,0
0,1,0,1,0
0,1,0,0,0
1,1,1,0,1
1,0,1,0,0
0,0,0,0,0
1,0,0,1,1
0,1,0,1,1
0,1,1,1,1
1,0,1,1,1
1,0,1,0,1
1,1,1,0,0
0,1,0,0,0
1,1,0,1,1
0,1,1,1,0
1,0,0,0,1
0,1,0,1,1
0,1,0,0,1
1,1,0,0,1
0,1,1,0,1
0,1,0,0,0
1,0,1,1,1
0,0,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,1
0,0,1,0,1
0,0,0,0,1
0,0,1,1,1
0,1,1,1,1
0,0,0,0,0
0,0,1,0,0
1,1,1,1,0
0,1,0,1,0
0,1,0,1,0
1,1,0,0,0
0,1,1,0,1
0,0,1,0,0
0,0,0,0,0
1,1,0,0,0
0,0,1,1,0
1,1,0,1,0
0,1,1,1,0
0,1,0,1,0
1,1,0,0,1
0,1,0,1,0
0,1,1,0,0
0,1,1,1,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,0
1,1,1,1,1
0,1,0,1,1
0,1,0,0,0
1,0,1,1,1
1,0,0,1,1
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
1,1,0,1,0
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,0,0,0,0
0,1,1,0,1
0,1,1,1,0
1,0,1,1,0
1,0,1,0,0
0,1,0,0,0
0,1,0,1,0
1,1,1,1,0
0,0,1,0,1
0,1,0,0,1
0,1,1,0,1
