"mussel_parasite_1","mussel_parasite_2","mussel_parasite_3","mussel_parasite_4","mussel_parasite_5","mussel_parasite_6","mussel_parasite_7","mussel_parasite_8","mussel_parasite_9","mussel_parasite_10","mussel_parasite_11","mussel_parasite_12","mussel_parasite_13","mussel_parasite_14"
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0,0,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,0,0
1,0,1,1,0,0,0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,1,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,1,0,0,0,1,0
1,0,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,1,1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,1,0,1,0,0,0,0
1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0
1,0,1,1,0,0,1,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,1,0,1,0,0,0,0,0
