"norway_vegetation_1","norway_vegetation_2","norway_vegetation_3","norway_vegetation_4","norway_vegetation_5","norway_vegetation_6","norway_vegetation_7","norway_vegetation_8","norway_vegetation_9","norway_vegetation_10","norway_vegetation_11","norway_vegetation_12","norway_vegetation_13","norway_vegetation_14","norway_vegetation_15","norway_vegetation_16","norway_vegetation_17","norway_vegetation_18","norway_vegetation_19","norway_vegetation_20","norway_vegetation_21","norway_vegetation_22","norway_vegetation_23","norway_vegetation_24","norway_vegetation_25","norway_vegetation_26","norway_vegetation_27","norway_vegetation_28","norway_vegetation_29","norway_vegetation_30","norway_vegetation_31","norway_vegetation_32","norway_vegetation_33","norway_vegetation_34","norway_vegetation_35","norway_vegetation_36","norway_vegetation_37","norway_vegetation_38","norway_vegetation_39","norway_vegetation_40","norway_vegetation_41","norway_vegetation_42","norway_vegetation_43","norway_vegetation_44","norway_vegetation_45","norway_vegetation_46","norway_vegetation_47","norway_vegetation_48","norway_vegetation_49","norway_vegetation_50","norway_vegetation_51","norway_vegetation_52","norway_vegetation_53","norway_vegetation_54","norway_vegetation_55","norway_vegetation_56","norway_vegetation_57","norway_vegetation_58","norway_vegetation_59","norway_vegetation_60","norway_vegetation_61","norway_vegetation_62","norway_vegetation_63","norway_vegetation_64","norway_vegetation_65","norway_vegetation_66","norway_vegetation_67","norway_vegetation_68","norway_vegetation_69","norway_vegetation_70","norway_vegetation_71","norway_vegetation_72","norway_vegetation_73","norway_vegetation_74","norway_vegetation_75","norway_vegetation_76","norway_vegetation_77","norway_vegetation_78","norway_vegetation_79","norway_vegetation_80","norway_vegetation_81","norway_vegetation_82","norway_vegetation_83","norway_vegetation_84","norway_vegetation_85","norway_vegetation_86","norway_vegetation_87","norway_vegetation_88","norway_vegetation_89","norway_vegetation_90","norway_vegetation_91","norway_vegetation_92","norway_vegetation_93","norway_vegetation_94","norway_vegetation_95","norway_vegetation_96","norway_vegetation_97","norway_vegetation_98","norway_vegetation_99","norway_vegetation_100","norway_vegetation_101","norway_vegetation_102","norway_vegetation_103","norway_vegetation_104","norway_vegetation_105","norway_vegetation_106","norway_vegetation_107","norway_vegetation_108","norway_vegetation_109","norway_vegetation_110","norway_vegetation_111","norway_vegetation_112","norway_vegetation_113","norway_vegetation_114","norway_vegetation_115","norway_vegetation_116","norway_vegetation_117","norway_vegetation_118","norway_vegetation_119","norway_vegetation_120","norway_vegetation_121","norway_vegetation_122","norway_vegetation_123","norway_vegetation_124","norway_vegetation_125","norway_vegetation_126","norway_vegetation_127","norway_vegetation_128","norway_vegetation_129","norway_vegetation_130","norway_vegetation_131","norway_vegetation_132","norway_vegetation_133","norway_vegetation_134","norway_vegetation_135","norway_vegetation_136","norway_vegetation_137","norway_vegetation_138","norway_vegetation_139","norway_vegetation_140","norway_vegetation_141","norway_vegetation_142","norway_vegetation_143","norway_vegetation_144","norway_vegetation_145","norway_vegetation_146","norway_vegetation_147","norway_vegetation_148","norway_vegetation_149","norway_vegetation_150","norway_vegetation_151","norway_vegetation_152","norway_vegetation_153","norway_vegetation_154","norway_vegetation_155","norway_vegetation_156","norway_vegetation_157","norway_vegetation_158","norway_vegetation_159","norway_vegetation_160","norway_vegetation_161","norway_vegetation_162","norway_vegetation_163","norway_vegetation_164","norway_vegetation_165","norway_vegetation_166","norway_vegetation_167","norway_vegetation_168","norway_vegetation_169","norway_vegetation_170","norway_vegetation_171","norway_vegetation_172","norway_vegetation_173","norway_vegetation_174","norway_vegetation_175","norway_vegetation_176","norway_vegetation_177","norway_vegetation_178","norway_vegetation_179","norway_vegetation_180","norway_vegetation_181","norway_vegetation_182","norway_vegetation_183","norway_vegetation_184","norway_vegetation_185","norway_vegetation_186","norway_vegetation_187","norway_vegetation_188","norway_vegetation_189","norway_vegetation_190","norway_vegetation_191","norway_vegetation_192","norway_vegetation_193","norway_vegetation_194","norway_vegetation_195","norway_vegetation_196","norway_vegetation_197","norway_vegetation_198","norway_vegetation_199","norway_vegetation_200","norway_vegetation_201","norway_vegetation_202","norway_vegetation_203","norway_vegetation_204","norway_vegetation_205","norway_vegetation_206","norway_vegetation_207","norway_vegetation_208","norway_vegetation_209","norway_vegetation_210","norway_vegetation_211","norway_vegetation_212","norway_vegetation_213","norway_vegetation_214","norway_vegetation_215","norway_vegetation_216","norway_vegetation_217","norway_vegetation_218","norway_vegetation_219","norway_vegetation_220","norway_vegetation_221","norway_vegetation_222","norway_vegetation_223","norway_vegetation_224","norway_vegetation_225","norway_vegetation_226","norway_vegetation_227","norway_vegetation_228","norway_vegetation_229","norway_vegetation_230","norway_vegetation_231","norway_vegetation_232","norway_vegetation_233","norway_vegetation_234","norway_vegetation_235","norway_vegetation_236","norway_vegetation_237","norway_vegetation_238","norway_vegetation_239","norway_vegetation_240","norway_vegetation_241","norway_vegetation_242"
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
