"swiss_bird_1","swiss_bird_2","swiss_bird_3","swiss_bird_4","swiss_bird_5","swiss_bird_6","swiss_bird_7","swiss_bird_8","swiss_bird_9","swiss_bird_10","swiss_bird_11","swiss_bird_12","swiss_bird_13","swiss_bird_14","swiss_bird_15","swiss_bird_16","swiss_bird_17","swiss_bird_18","swiss_bird_19","swiss_bird_20","swiss_bird_21","swiss_bird_22","swiss_bird_23","swiss_bird_24","swiss_bird_25","swiss_bird_26","swiss_bird_27","swiss_bird_28","swiss_bird_29","swiss_bird_30","swiss_bird_31","swiss_bird_32","swiss_bird_33","swiss_bird_34","swiss_bird_35","swiss_bird_36","swiss_bird_37","swiss_bird_38","swiss_bird_39","swiss_bird_40","swiss_bird_41","swiss_bird_42","swiss_bird_43","swiss_bird_44","swiss_bird_45","swiss_bird_46","swiss_bird_47","swiss_bird_48","swiss_bird_49","swiss_bird_50","swiss_bird_51","swiss_bird_52","swiss_bird_53","swiss_bird_54","swiss_bird_55","swiss_bird_56"
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
