"swiss_forest_1","swiss_forest_2","swiss_forest_3","swiss_forest_4","swiss_forest_5","swiss_forest_6","swiss_forest_7","swiss_forest_8","swiss_forest_9","swiss_forest_10","swiss_forest_11","swiss_forest_12","swiss_forest_13","swiss_forest_14","swiss_forest_15","swiss_forest_16","swiss_forest_17","swiss_forest_18","swiss_forest_19","swiss_forest_20","swiss_forest_21","swiss_forest_22","swiss_forest_23","swiss_forest_24","swiss_forest_25","swiss_forest_26","swiss_forest_27","swiss_forest_28","swiss_forest_29","swiss_forest_30","swiss_forest_31","swiss_forest_32","swiss_forest_33","swiss_forest_34","swiss_forest_35","swiss_forest_36","swiss_forest_37","swiss_forest_38","swiss_forest_39","swiss_forest_40","swiss_forest_41","swiss_forest_42","swiss_forest_43","swiss_forest_44","swiss_forest_45","swiss_forest_46","swiss_forest_47","swiss_forest_48","swiss_forest_49","swiss_forest_50","swiss_forest_51","swiss_forest_52","swiss_forest_53","swiss_forest_54","swiss_forest_55","swiss_forest_56","swiss_forest_57","swiss_forest_58","swiss_forest_59","swiss_forest_60","swiss_forest_61","swiss_forest_62","swiss_forest_63"
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
