length,gravid,zebra,month,weight
71.5,n,n,a,-1.154429264
66.5,n,y,a,-0.433321892
69,n,n,a,-0.415275252
67,n,n,a,-1.133907244
66.5,n,n,a,-0.562321892
70.5,n,n,a,-1.157289163
80.5,n,y,a,2.666440729
57,n,n,a,-0.437675965
62.5,y,y,a,-0.939541393
66.5,y,n,a,-0.979321892
72,n,n,a,-1.172804032
65.5,n,n,a,0.266893186
75.5,n,n,a,-2.086821249
65.5,n,y,a,0.061893186
82.5,n,n,a,-2.488021559
81,y,y,a,-2.037463008
68.5,n,n,a,2.841164294
80.5,y,y,a,-3.761559271
61.5,n,y,a,-0.392133764
77.5,n,n,a,-0.703065362
77,n,n,a,-1.294599676
60.5,y,n,a,-0.706494016
84,y,n,a,-2.558812732
70.5,n,y,a,0.465710837
71.5,n,n,a,-1.043429264
72,n,n,a,0.400195968
69.5,y,n,a,-0.969482809
67.5,n,n,a,-0.644173483
63.5,n,n,a,-0.597890359
68.5,y,n,a,1.940164294
68.5,n,n,a,0.897164294
74.5,n,n,a,2.101401193
66,n,y,a,-0.673395667
78.5,n,n,a,1.177562455
52,n,y,a,0.162019357
61,y,y,a,0.537396259
76,n,n,a,0.474000474
60.5,n,y,a,0.272505984
54.5,y,n,a,-0.406085251
51.5,y,n,a,-0.148741231
65,y,y,a,-0.28943359
67.5,n,n,a,-0.488173483
48.5,n,n,a,-0.471770467
60,y,y,a,-0.75778293
49.5,n,y,a,-0.311672226
53.5,y,y,a,-0.551975851
53,y,y,a,-0.504576449
53,n,y,a,-0.601576449
56.5,n,y,a,-0.530149609
47,n,n,a,-0.290476506
54,y,y,a,-0.712471608
52,n,n,a,-0.031980643
39.5,n,y,a,-0.060834043
54.5,n,y,a,-0.376085251
40.5,n,y,a,0.174852712
47.5,n,n,a,-0.363395218
44.5,n,y,a,-0.235716738
58.5,n,y,a,0.010174967
74,y,n,a,1.125489128
52.5,n,n,a,0.268748117
76,n,y,b,-1.495999526
64,n,n,b,-0.783847086
68,y,n,b,0.682857622
70,y,n,b,-1.522480176
68.5,n,n,b,0.045164294
73,n,n,b,-1.024272196
75.5,y,y,b,0.554178751
78.5,n,y,b,-0.039437545
73.5,n,n,b,-1.028409291
63.5,n,y,b,0.503109641
67.5,n,n,b,1.032826517
61.5,n,n,b,0.327866236
81,n,y,b,-1.613463008
76.5,n,n,b,0.2427483
77,n,y,b,1.247400324
72.5,n,y,b,0.876922272
72.5,y,n,b,-1.342077728
67.5,n,y,b,0.134826517
72.5,n,n,b,1.300922272
67,n,y,b,-0.321907244
66.5,n,n,b,0.592678108
73,n,n,b,1.071727804
70.5,y,n,b,-1.588289163
61.5,n,y,b,-0.049133764
75,n,n,b,0.517305028
61.5,n,n,b,0.043866236
72,n,n,b,0.362195968
68.5,n,y,b,0.072164294
58,n,n,b,-0.236492075
58.5,n,n,b,-0.006825033
57,n,n,b,-0.003675965
65,n,y,b,0.01956641
60,n,y,b,0.00521707
74.5,n,n,b,-0.982598807
62.5,n,n,b,0.452458607
59,n,n,b,0.096529923
54.5,n,n,b,0.178914749
63.5,n,n,b,0.493109641
54.5,n,n,b,0.305914749
59.5,n,y,b,-0.912448832
64,n,n,b,0.092152914
53.5,n,n,b,-0.067975851
55.5,n,n,b,-0.632752359
57.5,n,n,b,-0.176449588
61,y,n,b,0.395396259
50.5,n,n,b,0.015728059
55,n,n,b,-0.281838318
68,n,n,b,0.191857622
47.5,n,n,b,-0.209395218
60,n,n,b,0.68621707
50.5,n,n,b,0.688728059
52.5,n,n,b,0.246748117
61.5,y,y,b,-0.772133764
46.5,n,n,b,0.160624791
48.5,n,n,b,0.361229533
48.5,n,y,b,-0.342770467
39.5,n,n,b,0.163165957
40.5,n,n,b,-0.221147288
43,n,n,b,-0.03475926
28,n,n,b,0.13909802
82.5,n,n,c,-1.702021559
70,n,n,c,0.880519824
78.5,n,n,c,4.382562455
63.5,n,n,c,-0.266890359
71.5,n,n,c,-0.036429264
76.5,n,y,c,1.9627483
81.5,n,n,c,-0.537659986
74.5,n,n,c,1.850401193
75.5,n,n,c,-1.768821249
68.5,n,n,c,1.967164294
66,n,n,c,0.216604333
68.5,n,y,c,1.617164294
66.5,n,y,c,-0.581321892
64.5,n,y,c,0.376645743
64,n,n,c,1.503152914
67.5,n,n,c,-0.426173483
66,n,n,c,0.617604333
53.5,n,n,c,0.621024149
75.5,n,y,c,-0.940821249
67.5,n,n,c,-1.477173483
71.5,n,y,c,-0.030429264
57,n,n,c,-0.560675965
62.5,n,n,c,1.413458607
60,n,n,c,0.23121707
69.5,n,n,c,1.336517191
62.5,n,n,c,-0.129541393
67.5,n,n,c,-1.016173483
66.5,n,n,c,0.524678108
59.5,n,n,c,-0.280448832
62.5,n,y,c,0.333458607
60.5,n,n,c,1.160505984
54.5,n,n,c,-0.363085251
59.5,n,n,c,0.649551168
61.5,n,n,c,1.495866236
57,n,n,c,-0.247675965
59.5,n,n,c,0.284551168
59,n,y,c,0.137529923
56.5,n,n,c,0.336850391
63.5,n,n,c,-0.404890359
57.5,n,n,c,0.130550412
62,n,n,c,0.834894245
73,n,n,c,-0.601272196
64.5,n,y,c,0.387645743
