ID,Age,Sex,Immigrations,prideTerritorySize,AverageNumberNeighbours,AvgPrideNumberPrev2year,territoryOverlap,habitatQuality,Yearly_rainfall,Average_Ph ,Median_vegetation_cover(%)
7SD,12.07,1,8,121.833,45,3,0.787963852,92.473259,104.58,7.0954,32.6
BFN,3,0,0,102.963,0,4,0.009712227,90.391339,38.15555556,7.005,21.8
BMG,1.07,1,0,71.858,25,4,1.00197612,90.001398,104.58,7.005,28.4
BMH,1.07,1,0,71.858,25,4,1.00197612,90.001398,104.58,7.005,28.4
BUFFALO-BILL,6.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA
BUFFALO-BOB,8.05,1,1,30.503,5,10,0.065567321,95.895171,50.82,6.9,17.3
CFC,11.99,0,0,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
CL,4.34,0,1,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
CS06,1.77,0,0,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
CS08,1.79,1,0,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
CS16,1.56,0,0,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
CS22,1.16,0,0,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
CS34,1.62,1,0,39.796,20,10,2.03538044,93.935542,50.82,6.995,41.8
CS55,3.98,0,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CS56,3.63,1,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CS60,3.63,0,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CS62,3.41,1,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CS76,1.83,1,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CS77,1.56,0,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CS82,1.29,0,0,48.363,14,8,0.661662841,93.574595,46.45833333,6.995,41.8
CSP,13.29,0,1,30.084,17,1,0.882125923,96.088339,38.43,6.995,41.9
CST,4.77,0,0,23.12,12,13,1.384083045,96.096963,104.58,6.995,41.8
DAVE,2.34,1,0,24.533,25,3,1.253525541,96.695859,104.58,7.108,17.5
DICK,5.11,1,0,47.759,3,3,0.083753847,45.892226,38.15555556,7.005,26.5
EL-BRAVO,11.15,1,0,37.215,15,3,1.00197612,0.564289,158.8166667,7.005,28.4
FEARLESS,8.68,1,1,150.523,18,12,0.856584,83.612866,164.621,7.005,33
G05,2.26,0,0,85.81,5,3,0.582682671,72.058984,60.04166667,7.005,47.4
G07,2.65,0,0,85.81,5,3,0.582682671,72.058984,104.5166667,7.005,47.4
GOFU,8.31,0,0,58.428,3,5,0.435500553,54.210254,103.2055556,7.005,21.6
GU8,5.22,0,0,109.477,3,5,0.666806727,50.647716,38.15555556,7.005,27.3
GU9,5.4,0,0,109.477,3,5,0.666806727,50.647716,38.15555556,7.005,27.3
HAYSTACK,6.17,1,1,125.572,9,12,0.69083,89.97966,56.55555556,7.005,38.6
HECTOR,6.81,1,1,23.12,12,13,1.384083045,96.26838,126.625,6.995,40.6
HISTORY,5.61,1,0,NA,NA,NA,NA,NA,NA,NA,NA
K03,2.77,1,0,36.768,13,5,1.441470844,87.936095,50.82,7.005,26
L05,8.12,0,0,48.156,7,7,0.934463,94.44095,158.8166667,6.9,17.3
L08,8.92,0,1,80.707,18,6,0.95406842,85.780413,104.58,7.005,26
L10,8.92,0,1,80.707,18,6,0.95406842,85.780413,104.58,7.005,26
L15,8.25,0,1,80.707,18,6,0.95406842,85.780413,104.58,7.005,26
L38,1.34,0,0,121.833,45,3,0.787963852,92.473259,104.58,7.0954,32.6
L51,6.94,0,0,61.569,6,13,0.04872582,94.483035,46.45833333,6.9,17.3
L79,4.78,0,0,61.569,6,13,0.04872582,94.483035,46.45833333,6.9,17.3
LILAC,12.82,0,0,47.759,3,3,0.083753847,45.892226,38.15555556,7.005,26.5
LILY,10.82,0,0,47.759,3,3,0.083753847,45.892226,38.15555556,7.005,26.5
LLI,4.93,0,0,48.156,7,7,0.934463,94.44095,158.8166667,6.9,17.3
LUPINE,7.27,0,0,47.759,3,3,0.083753847,45.892226,38.15555556,7.005,26.5
MALARIA-1,7.29,1,1,25.754,31,5,0.621262716,95.432499,50.82,7.03,19.3
MALARIA-2,7.29,1,1,25.754,31,5,0.621262716,95.432499,50.82,7.03,19.3
MAPEMA,12.39,0,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MAVUNO,12.09,0,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MKN,5.17,0,0,57.439,6,12,0.156687965,94.390319,46.45833333,7.005,25.9
MKO,5.17,1,0,57.439,6,12,0.156687965,94.390319,46.45833333,7.005,25.9
MS10,2.45,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS11,2.41,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS12,2.44,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS14,2.42,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS18,2.17,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS22,1.95,0,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS24,2.06,0,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS26,2,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS27,2.03,1,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
MS51,2.72,0,0,30.084,17,4,0.265922085,94.53662,46.45833333,7.005,17.5
MS53,2.17,1,0,30.084,17,4,0.265922085,94.53662,46.45833333,7.005,17.5
MS54,2.17,1,0,30.084,17,4,0.265922085,94.53662,46.45833333,7.005,17.5
MS56,1.75,0,0,30.084,17,4,0.265922085,94.53662,46.45833333,7.005,17.5
MWINDAJI,12.55,0,0,34.123,12,7,0.55680919,94.305796,104.58,7.005,17.5
NB01,4.79,0,0,20.098,2,2,0.049756195,49.257581,56.55555556,7.005,17.7
NW07,1.26,1,0,22.721,25,4,0.748206505,95.430194,126.625,6.9,41.9
NW12,6.53,0,0,25.877,10,5,0.425087916,95.510064,46.45833333,6.9,41.9
NW15,5.32,0,0,25.877,10,4,0.425087916,95.575,38.43,6.9,41.9
NW17,3.69,0,0,25.877,10,5,0.425087916,95.510064,46.45833333,6.9,41.9
NW24,2.13,1,0,25.877,10,5,0.425087916,95.510064,46.45833333,6.9,41.9
NW27,2.13,0,0,25.877,10,5,0.425087916,95.510064,46.45833333,6.9,41.9
PLAINS-BLACK,9.17,1,1,72.98,0,7,0.301452453,92.37535,56.55555556,7.005,33.2
PN25,2.67,0,0,54.338,0,7,0.165629946,94.05974,38.15555556,7.005,33.2
PN33,1.62,1,0,54.338,0,7,0.165629946,94.05974,38.15555556,7.005,33.2
PN8,6.16,0,0,54.338,0,7,0.165629946,94.05974,38.15555556,7.005,33.2
PSEUDO-SON,10.21,1,1,21.968,13,6,1.0247,92.68576,158.8166667,7.03,41.9
ROSCOE,8.16,1,1,34.123,12,8,0.55680919,94.628601,126.625,7.005,17.5
S#13,4.1,0,0,47.145,3,8,0.763601654,93.566343,38.15555556,7.005,44.8
SB22,4.79,0,0,41.448,5,6,0.844431577,90.175159,38.15555556,7.005,38
SB5,13.31,0,0,47.145,3,8,0.763601654,93.566343,38.15555556,7.005,44.8
SB53,1.57,0,0,41.448,5,6,0.844431577,90.175159,38.15555556,7.005,38
SBG,4.79,0,0,52.208,6,7,0.881806443,85.622942,56.55555556,7.005,38
SBI,3.11,1,0,26.261,12,6,1.110940852,88.495629,60.04166667,7.005,38
SBK,2.73,1,0,26.261,12,6,1.110940852,88.495629,60.04166667,7.005,38
SBN,5.77,1,1,102.963,0,3,0.009712227,87.693651,103.2055556,7.005,21.8
SBP,1.56,0,0,26.261,12,6,1.110940852,88.495629,60.04166667,7.005,38
SHIKA,9.93,0,1,21.968,29,2,1.30126183,93.202444,104.58,7.16,41.8
SHM,2.34,1,0,24.533,25,3,1.253525541,96.695859,104.58,7.108,17.5
SM19,1.83,0,0,83.002,25,5,0.072287,81.445319,104.58,7.005,40.3
SM22,1.5,1,0,83.002,25,5,0.072287,81.445319,104.58,7.005,40.3
SMA,7.44,0,0,83.002,25,5,0.072287,81.445319,104.58,7.005,40.3
SMC,7.16,0,0,83.002,25,5,0.072287,81.445319,104.58,7.005,40.3
SMOKESTACK,6.17,1,1,107.551,10,8,0.69083,89.97966433,56.55555556,7.005,36.6
SOPHIE,11.24,0,0,26.261,12,7,1.110940852,88.495629,104.5166667,7.005,38
SR09,1.34,1,0,21.968,29,2,1.30126183,93.202444,126.625,7.16,41.8
SYMPATICA,9.15,0,2,76.11,17,1,0.906582578,88.774173,60.04166667,7.005,40.3
TR03,2.88,0,0,43.794,23,8,0.881266312,93.330745,46.45833333,7.03,19.3
TR-B,1.27,0,0,25.754,31,5,0.621262716,95.432499,50.82,7.03,19.3
TR-D,1.27,0,0,25.754,31,5,0.621262716,95.432499,50.82,7.03,19.3
TRIM,11.64,0,0,43.794,23,8,0.881266312,93.330745,46.45833333,7.03,19.3
TR-S,3.67,0,0,43.794,23,8,0.881266312,93.330745,46.45833333,7.03,19.3
TR-Z,3.25,0,0,43.794,23,8,0.881266312,93.330745,46.45833333,7.03,19.3
