Lion_ID,RVF,CDV,Coronavirus,Parvovirus,Calicivirus
7SD,0,1,1,0,1
BFN,0,1,1,1,0
BMG,0,0,0,0,0
BMH,0,0,0,0,1
BUFFALO-BOB,1,0,1,0,1
CFC,1,1,1,0,1
CL,1,0,0,0,1
CS06,0,0,1,0,1
CS08,0,0,1,0,1
CS16,1,0,1,1,1
CS22,0,0,1,1,0
CS34,0,0,1,0,0
CS55,0,1,1,1,0
CS56,1,1,1,1,0
CS60,0,1,1,1,0
CS62,0,1,1,1,0
CS76,0,1,1,1,0
CS77,1,0,0,0,0
CS82,0,1,1,0,0
CSP,0,1,1,0,1
CST,0,0,1,0,1
DAVE,0,0,1,0,1
DICK,0,1,0,0,0
EL-BRAVO,0,1,1,0,1
FEARLESS,1,1,0,0,1
G05,1,0,1,0,0
G07,0,1,0,0,1
GOFU,0,1,1,0,0
GU8,0,1,0,1,0
GU9,0,1,0,0,0
HAYSTACK,1,1,1,0,1
HECTOR,1,0,1,0,0
K03,0,0,0,0,0
L05,1,0,0,1,1
L08,0,1,0,1,1
L10,0,1,1,1,1
L15,1,0,1,1,1
L38,1,0,1,0,1
L51,1,1,1,0,0
L79,0,1,0,0,0
LILAC,1,1,0,1,1
LILY,0,1,1,1,0
LLI,1,0,0,0,1
LUPINE,0,1,0,1,1
MALARIA-1,0,1,0,0,1
MALARIA-2,1,1,0,0,1
MAPEMA,0,1,1,0,1
MAVUNO,0,1,0,0,0
MKN,1,0,1,1,1
MKO,0,0,0,1,0
MS10,0,0,1,0,1
MS11,0,0,1,0,1
MS12,0,1,1,1,1
MS14,0,0,1,0,1
MS18,0,0,0,0,1
MS22,0,0,1,1,1
MS24,0,1,1,1,1
MS26,0,0,0,0,0
MS27,0,0,1,0,0
MS51,1,1,1,1,0
MS53,0,1,0,1,0
MS54,0,1,0,1,0
MS56,1,1,0,0,0
MWINDAJI,0,1,1,0,1
NB01,0,0,1,0,0
NW07,0,0,0,0,0
NW12,1,1,0,0,0
NW15,0,0,1,1,0
NW17,1,1,0,1,0
NW24,0,1,1,1,0
NW27,0,1,0,1,0
PLAINS-BLACK,1,1,0,0,1
PN25,0,1,0,1,0
PN33,0,1,1,0,0
PN8,0,1,1,1,1
PSEUDO-SON,1,1,0,0,1
ROSCOE,1,1,0,0,1
S#13,0,1,0,0,0
SB22,1,1,1,1,1
SB5,0,1,0,1,1
SB53,0,1,0,0,0
SBG,1,0,1,1,1
SBI,1,0,0,1,1
SBK,0,0,0,0,0
SBN,0,0,0,0,1
SBP,0,0,0,0,1
SHIKA,1,1,0,1,0
SHM,1,0,1,0,1
SM19,0,0,0,0,1
SM22,0,0,1,0,1
SMA,0,0,1,0,1
SMC,0,0,0,0,1
SMOKESTACK,1,0,0,0,1
SOPHIE,1,1,0,0,1
SR09,0,0,0,0,0
SYMPATICA,0,1,1,0,1
TR03,0,1,1,1,0
TR-B,1,0,1,1,0
TR-D,1,0,1,0,0
TRIM,0,1,0,0,0
TR-S,0,1,0,1,0
TR-Z,1,1,1,1,0
UK2,0,0,1,0,1
WINKLE,0,1,0,0,1
WOSTILLY,0,1,1,0,1
