PointName,Lat(WGS84),Lon(WGS84),Elevation(m)
M101,4.04182,114.81422,50
M102,4.04035,114.815,50
M103,4.03977,114.81312,50
M104,4.03883,114.81263,50
M105,4.03792,114.8129,50
M106,4.0386,114.81415,50
M107,4.03862,114.81552,50
M108,4.03685,114.816,50
M109,4.03545,114.81625,50
M110,4.0338,114.81668,50
M111,4.03242,114.81697,50
M112,4.03097,114.8175,50
M113,4.0297,114.81815,50
M114,4.02842,114.81813,50
M115,4.02687,114.81847,50
M116,4.02565,114.8191,50
M117,4.02433,114.81995,50
M118,4.02447,114.8217,50
M119,4.02467,114.82287,50
M120,4.02363,114.82195,50
M121,4.02325,114.82067,50
M122,4.02377,114.81923,50
M123,4.02365,114.8179,50
M124,4.02302,114.81667,50
M125,4.02372,114.81555,50
M301,4.04868,114.86065,300
M302,4.04823,114.86143,300
M303,4.04838,114.86222,300
M304,4.04912,114.8626,300
M305,4.0497,114.8631,300
M306,4.0491,114.86373,300
M307,4.0496,114.86435,300
M308,4.05002,114.86473,300
M309,4.05083,114.86485,300
M310,4.05147,114.8651,300
M311,4.04742,114.86177,300
M312,4.04642,114.86142,300
M313,4.04597,114.86277,300
M314,4.04517,114.8638,300
M315,4.04397,114.86405,300
M316,4.04313,114.86407,300
M317,4.04233,114.86393,300
M318,4.04153,114.86358,300
M319,4.0013,114.82725,300
M320,4.00243,114.82667,300
M321,4.00388,114.82677,300
M322,4.00498,114.82728,300
M323,4.00617,114.82792,300
M324,4.00742,114.82885,300
M325,4.00842,114.8289,300
M326,4.00993,114.8297,300
M327,4.01222,114.83182,300
M328,4.01322,114.83245,300
M329,4.01375,114.83375,300
M330,4.0136,114.83533,300
M601,3.99493,114.82927,600
M602,3.99525,114.83022,600
M603,3.99552,114.83118,600
M604,3.9959,114.8323,600
M605,3.99637,114.83328,600
M606,3.997,114.8339,600
M607,3.99802,114.83432,600
M608,3.99922,114.83382,600
M609,3.9999,114.83455,600
M610,3.99978,114.83573,600
M611,3.99933,114.83667,600
M612,3.99972,114.83748,600
M613,4.00018,114.83865,600
M614,4.00235,114.83903,600
M615,unkn,unkn,600
M616,unkn,unkn,600
M617,unkn,unkn,600
M618,unkn,unkn,600
M619,unkn,unkn,600
M620,unkn,unkn,600
M621,unkn,unkn,600
M622,unkn,unkn,600
