Falco_subbuteo,Anthus_trivialis,Phylloscopus_bonelli,Tetrao_tetrix,Parus_caeruleus,Dendrocopos_major,Garrulus_glandarius,Carduelis_spinus,Loxia_curvirostra,Phylloscopus_trochilus,Certhia_brachydactyla,Sylvia_borin,Phoenicurus_phoenicurus,Hippolais_icterina,Pyrrhula_pyrrhula,Emberiza_citrinella,Muscicapa_striata,Picus_canus,Picus_viridis,Accipiter_gentilis,Bonasa_bonasia,Parus_cristatus,Prunella_modularis,Columba_oenas,Coccothraustes_coccothraustes,Sylvia_curruca,Sitta_europaea,Dendrocopos_minor,Corvus_corax,Cuculus_canorus,Buteo_buteo,Turdus_viscivorus,Parus_montanus,Luscinia_megarhynchos,Lanius_collurio,Oriolus_oriolus,Corvus_corone,Turdus_torquatus,Columba_palumbus,Aegithalos_caudatus,Milvus_migrans,Dryocopus_martius,Regulus_ignicapillus,Accipiter_nisus,Parus_palustris,Nucifraga_caryocatactes,Ficedula_hypoleuca,Streptopelia_turtur,Turdus_pilaris,Certhia_familiaris,Strix_aluco,Phylloscopus_sibilatrix,Asio_otus,Pernis_apivorus,Regulus_regulus,Serinus_citrinella,avg,cov,cv,dns,fhd,p10,p25,p95,rt_p2595,std,uhd,asp,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,ddeg0,ddeg5,mbal,mind,pet_103,pet_49,pet_ave,pet_swrt,prc_103,prc_49,prc_swrt,rad,slp,tpi,twi,CLUMPY_canopy,CLUMPY_under_midstorey,TE_canopy,TE_under_midstorey,TE_matrix,TE_total,data_type,blockCV_tile
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,13.54999924,34.10000229,0.628782287,34.10000229,1.842277765,2.679999828,5.949999809,28.13999939,0.211442784,8.519999504,2.381401062,138.538208,4.006450176,11.77270031,-3.484324932,1549,177,103,19.39094925,496,328,496,328,7.675600052,31.1935997,628.0658569,17.2302742,-7.373799801,24.60449982,11.77270031,-3.225874901,12267.1084,9071.461914,57,0.933679938,2.375596285,5.784462452,4.080029488,2.500902414,674.8441772,874.4107056,1.29575336,22440.56445,20.6560173,0.39344275,4.829438686,0.6521,0.3119,17440,21080,11200,49720,train,5
1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,13.78999996,32,0.554749793,32,1.803198099,3.9599998,7.089999676,28.19999886,0.251418438,7.649999619,2.276367664,153.931076,9.044525146,17.28522491,1.122324944,1239,126,87,10.41162491,350,281,290,333,8.02974987,31.22592545,657.5265503,23.51625061,-2.198824883,25.71549988,5.295450211,4.592675209,37979.24219,19732.62109,-243,1.236129761,2.244571686,5.860913277,4.052742481,2.61467576,653.1338501,586.234314,0.897589982,22138.38867,2.163161516,0.052385312,8.729261398,0.7834,0.466,9740,9480,7380,26600,train,1
0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,19.34000015,14.30000019,0.535160256,14.30000019,2.002114058,4.789999962,9.13999939,34.02999878,0.268586533,10.34999943,2.364148617,264.2193604,7.463900089,15.5485754,-0.592700005,1837,207,114,21.41015053,602,373,602,373,7.804500103,30.83117485,656.689209,21.11429977,-4.198225021,25.31227493,15.5485754,-0.592700005,24131.64844,17492.56445,372,0.76120472,2.201381683,5.809211254,4.005296707,2.711852312,771.1239624,1065.860718,1.382335067,21923.70703,11.29210854,1.543072343,5.207300186,0.6586,0.2917,10440,19740,22780,52960,train,5
0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,15.46000004,34.5,0.461836989,34.5,1.748487115,5.190000057,9.789999962,26.3599987,0.371396071,7.139999866,2.369797468,160.6944122,5.934325218,13.56499958,-1.281324983,1439,137,100,8.001375198,376,326,368,369,7.142449856,30.43199921,609.7078857,18.83790016,-4.630324841,23.46857452,2.69749999,1.357900023,19521.75781,11820.16504,-172,1.126220345,2.626640081,6.185388088,4.406013966,2.363966703,722.1221313,716.7643433,0.992575824,24173.79883,7.667673588,-0.506224692,5.478429794,0.545,0.255,22160,17920,20360,60440,train,2
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.289999962,2,0.729257635,2,0.303880841,1.059999943,1.199999928,5.739999771,0.209059229,1.669999957,1.270929456,150.8307953,1.90792501,9.769925117,-5.577600002,1206,146,50,34.38462448,428,171,428,175,7.8208251,31.09115028,631.8466797,15.26687527,-9.884900093,25.15222549,9.769925117,-4.963600159,8147.352051,4254.319336,-119,1.015344262,1.698937297,5.537093163,3.618015289,3.538758278,443.009613,763.064209,1.72244215,19943.9668,19.30246162,-4.319644451,5.582517624,0.1974,0.4086,560,22620,22220,45400,train,5
1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.929999352,61.29999924,0.589025771,61.29999924,1.421352506,2.210000038,4.569999695,18.04999924,0.253185589,5.259999752,2.392563105,264.3717957,9.772874832,18.34664917,1.215374947,1119,116,73,16.06380081,338,233,338,246,8.642149925,31.83049965,694.1346436,24.86537552,-2.285875082,27.1515255,18.34664917,2.569750071,40922.25,25401.05469,-316,1.231517792,2.097433805,5.74678421,3.922108889,2.74695158,499.6718445,619.0483398,1.238873005,21404.36523,3.329409838,-0.395223856,8.442055702,0.408,0.374,27240,30720,8840,66800,train,4
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,7.699999809,41.90000153,0.6025974,41.90000153,1.290274978,2.659999847,4.099999905,17.21999931,0.238095242,4.639999866,2.301666498,250.24263,9.642350197,18.20317459,1.114925027,1152,117,75,15.25220013,344,241,344,255,8.72377491,32.07509995,692.5784302,24.76452446,-2.431524992,27.19612503,18.20317459,3.13015008,40182.21484,25079.72656,-281,1.19468987,2.082243919,5.748510361,3.91537714,2.760821104,516.6792603,634.9380493,1.228880286,21372.07031,0.940692186,-0.22688131,8.792490005,0.3734,0.4196,25080,28740,9620,63440,train,4
0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,10.46000004,42.20000076,0.695028676,42.20000076,1.646778941,2.480000019,4.960000038,26.09999847,0.190038327,7.269999981,2.391818047,203.2333832,5.88757515,13.81567478,-1.871474981,1155,115,70,13.72147465,323,257,323,317,9.07772541,34.49319839,640.614502,20.22042465,-6.096849918,26.31819916,13.62237453,2.448450089,19234.08594,11771.40234,-271,1.262608051,2.198758602,5.599500656,3.899129629,2.566953182,585.1585083,570.0420532,0.974194586,21387.59961,10.61063576,-2.975966215,6.022373199,0.4613,0.3721,23180,31420,13000,67600,train,3
0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,14.75999928,34.70000076,0.718157178,34.70000076,1.963834047,2.029999971,5.589999676,33.16999817,0.168525776,10.59999943,2.327265978,184.6105957,8.435350418,16.75752449,0.137950003,1406,167,78,28.27407455,488,255,488,256,8.778574944,32.65530014,674.7224731,23.14167595,-3.740525007,26.88249969,16.75752449,1.358224988,31741.74609,18942.71875,-44,0.972835124,2.15486598,5.772123337,3.963494778,2.715801239,543.0758667,862.6567383,1.58847487,21668.0957,7.03364563,-2.151572704,6.868299007,0.6746,0.5411,14240,21300,15620,51160,train,4
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,9.679999352,42.70000076,0.658057884,42.70000076,1.548484564,1.620000005,4.059999943,21,0.193333331,6.369999886,2.277691364,255.7578583,4.110925198,11.70825005,-3.187099934,2375,281,145,23.81915092,813,486,813,486,7.323625088,30.78217506,614.1239624,16.83682442,-6.955675125,23.7921505,11.70825005,-3.187099934,12386.14746,9443.586914,873,0.608674526,2.265201807,5.948741436,4.106971741,2.673258305,994.7990112,1380.432373,1.38765502,22586.63672,9.399656296,1.499192953,5.397137642,0.5698,0.3987,19160,20600,6720,46480,train,4
