site_name,habitat_type,watershed,year,sex,mass,std_length,Schisto_totalMass,Acanthocephanus,Anisakis,Argulus,Blackspot,Bunodera,Bunoderina,Capillaria,Cestode_spp2,Cestode_spp3,Cestode_spp4,Cestode_spp5,Clear_skinny_flatworm,Crepidostomum,Cystidicola,Dip_spath,Diplostomum_spp1,Diplostomum_spp2,Dermocystidium,Ergasilus_internal,Eustrongyloides,Glugea,Nematode_spp2,Nematode_spp3,Nematode_spp4,Nematode_spp6,Nematode_spp7,Nematode_spp10,Neoechinorhyncus,Neoechinocephalus,Proteocephalus,Proteocephalus.spp2,P_ambloptitis_q,P_coregoni,P_fragile_q,Raphidascaris,Schistocephalus,Thersitina,Unionidae_internal,Unident_spine_cysts,Worm_unid2,Worm_unid3,Parasite.richness
Adam and Eve Estuary,Estuary,Adam River,2009,M,3.133,58.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.347,59.89,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.978,58.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.591,45.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.457,45.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,2.673,56.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.663,47.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.43,45.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.333,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.246,42.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,3.651,63.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.198,42.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.88,61.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,0.786,37.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,4.212,61.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.021,58.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,5.206,67.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.494,54.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,M,3.277,60.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.051,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.403,55.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,F,4.105,62.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,2.803,55.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,M,2.896,59.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.596,45.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.478,58.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.576,59.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.441,47.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,0.824,38.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.205,45.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.793,60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,2.524,54.14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Adam and Eve Estuary,Estuary,Adam River,2009,M,3.531,61.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.519,58.92,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.302,44.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,M,1.831,48.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.295,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,F,4.47,62.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.378,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.727,47.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.345,55.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.096,48.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.09,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.69,47.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.401,54.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.603,43.91,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.045,49.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.916,55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.597,45.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.243,42.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.008,48.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.357,45.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam and Eve Estuary,Estuary,Adam River,2009,M,0.77,38.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,4.177,60.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.99,63.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,2.013,46.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adam and Eve Estuary,Estuary,Adam River,2009,F,1.254,43.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.592,57.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam and Eve Estuary,Estuary,Adam River,2009,F,3.818,57.79,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
