Co-autor,Sample Unit,long,lat,Original Spot,Acestrorhynchus lacustris,Ancistrus aguaboensis,Apareiodon affinis,Apareiodon ibitiensis,Apareiodon machrisi,Apareiodon vladii,Aspidoras eurycephalus,Aspidoras fuscoguttatus,Astyanax  altiparanae,Astyanax asuncionensis,Astyanax bimaculatus,Astyanax bockmani,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax lineatus,Astyanax paranae,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis ,Brycon orbignyanus,Bryconamericus turiuba,Bryconammericus stramineus,Cetopsorhamdia iheringi,Characidium fasciatum,Characidium gomesi,Characidium zebra,Characidium zebra,Cichla kelberi,Cichlasoma dimerus,Cichlasoma paranaense,Corydoras aeneus,Corydoras flaveolus,Creagrutus varii,Crenicichla britskii,Crenicichla niederleinii,Cyphocharax gilbert,Cyphocharax modestus,Eigenmannia trilineata,Eigenmannia virescens ,Gymnotus carapo,Gymnotus sylvius,Harttia punctata,Hasemania crenuchoides,Hasemania hanseni ,Hemigrammus marginatus,Heptapterus mustelinus,Hisonotus francirochai,Hisonotus insperatus,Hyphessobrycon coelestinus,Hyphessobrycon herbertaxelrodi ,Hyphessobrycon luetkenii,Hypostomus  plecostumus,Hypostomus  regani,Hypostomus ancistroides,Hypostomus boulengeri,Hypostomus nigromaculatus,Imparfinis borodini,Imparfinis longicauda,Imparfinis minutus,Imparfinis mirini,Imparfinis schubarti,Knodus chapadae,Knodus moenkhausii,Leporinus microphthalmus,Leporinus paranensis,Microglanis garavelloi,Moenkhausia sanctaefilomenae,Neoplecostomus paranensis,Oligosarcus pintoi,Paravandellia oxyptera,Parodon nasus,Phalloceros harpagos,Phenacorhamdia somnians,Phenacorhamdia tenebrosa,Piabina argentea,Pimelodella avanhandavae,Planaltina myersi,Poecilia reticulata,Prochilodus  lineatus,Pyrrhulina australis,Rineloricaria latirostris,Rivulus pictus,Serrapinnus heterodon,Serrapinnus notomelas,Steindachnerina insculpta,Sternopygus macrurus,Synbranchus marmoratus,Tatia neivar,Tilapia rendalli,Trichomycterus aff. brasiliensis,Trichomycterus candidus,MTurb,MCondut,MPh,MOD,MTempAgua,Mvel,Mprof,Mlar
Code,,,,,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39,Sp40,Sp41,Sp42,Sp43,Sp44,Sp45,Sp46,Sp47,Sp48,Sp49,Sp50,Sp51,Sp52,Sp53,Sp54,Sp55,Sp56,Sp57,Sp58,Sp59,Sp60,Sp61,Sp62,Sp63,Sp64,Sp65,Sp66,Sp67,Sp68,Sp69,Sp70,Sp71,Sp72,Sp73,Sp74,Sp75,Sp76,Sp77,Sp78,Sp79,Sp80,Sp81,Sp82,Sp83,Sp84,Sp85,Sp86,Sp87,Sp88,Sp89,Sp90,Sp91,Sp92,,,,,,,,
Distribution in metacommunities,,,,,Satellite,Core,Satellite,Core,Satellite,Satellite,Satellite,Core,Core,Satellite,Core,Satellite,Core,Core,Satellite,Satellite,Core,Core,Core,Satellite,Core,Core,Core,Core,Core,Core,Core,Core,Satellite,Satellite,Core,Satellite,Core,Satellite,Satellite,Core,Satellite,Satellite,Core,Satellite,Core,Satellite,Satellite,Core,Core,Satellite,Satellite,Satellite,Satellite,Satellite,Satellite,Satellite,Satellite,Core,Core,Satellite,Core,Satellite,Core,Satellite,Core,Core,Satellite,Core,Core,Satellite,Satellite,Satellite,Core,Satellite,Satellite,Core,Satellite,Core,Core,Core,Satellite,Core,Core,Satellite,Satellite,Core,Core,Satellite,Core,Core,Satellite,Core,Satellite,Core,Core,Core,,,,,,,,
Guild,,,,,Piscívoro,Detritivorous,Detritivorous,Detritivorous,Onivorous,Detritivorous,Detritivorous,A,Onivorous,Insetivorous,Onivorous,Onivorous,Onivorous,Onivorous,Onivorous,Onivorous,Onivorous,Onivorous,Insetivorous,Onivorous,Onivorous,Onivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Carnívoro,Onivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Detritivorous,Detritivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Detritivorous,Insetivorous,Insetivorous,Insetivorous,Insetivorous,Detritivorous,Detritivorous,Insetivorous,Insetivorous,Insetivorous,Detritivorous,Detritivorous,Detritivorous,Detritivorous,Detritivorous,Insetivorous,Onivorous,Onivorous,Insetivorous,Insetivorous,Onivorous,Onivorous,Insetivorous,Onivorous,Insetivorous,Insetivorous,Detritivorous,Insetivorous,Insetivorous,Detritivorous,Onivorous,Insetivorous,Insetivorous,Onivorous,Insetivorous,Onivorous,Onivorous,Detritivorous,Detritivorous,Insetivorous,Insetivorous,Detritivorous,Detritivorous,Detritivorous,Insetivorous,Onivorous,Insetivorous,Onivorous,Insetivorous,Insetivorous,,,,,,,,
Francisco Leonardo Tejerina Garro,ua1,-49.190833,-18.242222,P01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006666667,8,6.26,4.4,24.23333333,0.125454545,0.352727273,0.311818182
Francisco Leonardo Tejerina Garro,ua2,-49.244444,-18.223333,P02,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15.03333333,82.03333333,6.67,8.2,24.7,663.0909091,0.236363636,2.209090909
Francisco Leonardo Tejerina Garro,ua3,-49.164722,-18.217500,P03,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,38.66666667,6.503333333,7.1,19.03333333,307.3636364,0.1,0.954545455
Francisco Leonardo Tejerina Garro,ua4,-49.136389,-18.205000,P04,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.776666667,46.36666667,6.603333333,8.2,16.43333333,533.7272727,0.245454545,1.572727273
Francisco Leonardo Tejerina Garro,ua5,-49.150556,-18.201944,P05,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23333333,107.3,6.676666667,6.7,18.13333333,221.3636364,0.168181818,1.018181818
Francisco Leonardo Tejerina Garro,ua6,-49.148056,-18.195833,P06,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,105.5333333,7.403333333,7.4,24.1,348.9090909,0.418181818,3.672727273
Francisco Leonardo Tejerina Garro,ua7,-49.362222,-18.092500,P07,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.83333333,77.1,6.900635965,6.2,19.86666667,30.5,0.158333333,1.691666667
