Island,Latitude,Longitude,Biogeographical regIonian ,Island Characteristics,Island area (km2),Distance to mainland,Distance to other island,Elevation (masl),sea floor 5km,sea floor 30km,Aridity Index,Mean annual temperature (ºC),Species,Ablepharus kitaibelii,Ablepharus budaki,Acanthodactylus boskianus,Acanthodactylus maculatus,Acanthodactylus schreiberi,Algyroides fitzingeri,Algyroides moreoticus,Algyroides nigropunctatus,Anatololacerta anatolica,Anatololacerta budaki,Anatololacerta pelasgiana,Anguis cephallonica,Anguis fragilis,Anguis graeca,Anguis veronensis,Archaeolacerta bedriagae,Blanus strauchi,Chalcides chalcides,Chalcides colosii,Chalcides ocellatus,Chalcides parallelus,Chamaeleo chamaeleon,Dalmatolacerta oxycephala,Euleptes europaea,Eumeces schneideri,Hemidactylus turcicus,Heremites aurata,Heremites vittatus,Lacerta bilineata,Lacerta trilineata,Lacerta viridis,Stellagama stellio,Mediodactylus kotschyi,Mesalina olivieri,Ophisops elegans,Ophiomorus kardesi,Ophiomorus punctatissimus,Phoenicolacerta laevis,Phoenicolacerta troodica,Podarcis cretensis,Podarcis erhardii,Podarcis filfolensis,Podarcis gaigeae,Podarcis ionicus,Podarcis levendis,Podarcis lilfordi,Podarcis liolepis,Podarcis melisellensis,Podarcis milensis,Podarcis muralis,Podarcis peloponnesiacus,Podarcis pityusensis,Podarcis raffoneae,Podarcis siculus,Podarcis tauricus,Podarcis tiliguerta,Podarcis vaucheri,Podarcis waglerianus,Psammodromus algirus,Pseudopus apodus,Ptyodactylus puiseuxi,Saurodactylus mauritanicus,Stenodactylus mauritanicus,Tarentola fascicularis,Tarentola mauritanica,Scelarcis perspicillata,Timon lepidus,Timon pater,Trogonophis wiegmanni,Coronella austriaca,Coronella girondica,Dolichophis caspius,Hierophis cypriensis,Dolichophis jugularis,Eirenis levantinus,Eirenis modestus,Elaphe quatuorlineata,Elaphe sauromates,Eryx jaculus,Hemorrhois algirus,Hemorrhois hippocrepis,Hemorrhois nummifer,Hierophis gemonensis,Hierophis viridiflavus,Macroprotodon mauritanicus,Malpolon monspessulanus,Malpolon insignitus,Macrovipera lebetina,Macrovipera schweizeri,Montivipera xanthina,Natrix maura,Natrix natrix,Natrix helvetica,Natrix tessellata,Platyceps najadum,Zamenis scalaris,Telescopus fallax,Xerotyphlops vermicularis,Vipera ammodytes,Vipera aspis,Vipera latastei,Zamenis lineatus,Zamenis longissimus,Zamenis situlus
Alboran,35.939231,-3.035541,Alborán,X,0.07,52,52,15,-115,-955,2359,18.3,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congreso,35.179005,-2.440951,Alborán,X,0.25,3.28,3.28,91,-46,-181,2887,18.2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isabel II,35.181931,-2.429798,Alborán,X,0.14,3.28,3.28,31,-46,-181,2887,18.2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,35.217588,-3.900624,Alborán,X,0.01,0.44,0.44,5,-39,-256,2328,18.2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peñón de Alhucemas,35.213401,-3.889135,Alborán,X,0.015,0.6,0.6,27,-39,-256,2328,18.2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rey,35.180453,-2.423169,Alborán,X,0.11,3.28,3.28,12,-46,-181,2887,18.2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tierra,35.215122,-3.902493,Alborán,X,0.01,0.13,0.13,5,-39,-256,2328,18.2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addaia Gran,40.016801,4.210768,Balearic,X,0.084,220,0.15,22,-56,-656,6280,16.9,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addaia Petita,40.0199,4.209049,Balearic,X,0.05,220,0.469,7.8,-56,-656,6280,16.9,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcanada,39.835464,3.170545,Balearic,X,0.022,184,0.11,8.5,-20,-329,6857,16.6,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binicodrell Gros,39.916035,4.030088,Balearic,X,0.005,240,0.1,6.1,-75,-776,6431,16.8,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bledes (Menorca),40.068065,4.031378,Balearic,X,0.0375,220,0.121,61.5,-37,-678,6336,16.8,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosc,38.968791,1.217073,Balearic,X,0.18,88,0.51,67,-86,-372,4603,17.5,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabrera,39.138132,2.944283,Balearic,X,15.7,239,13.7,172,-85,-672,5575,16.8,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
