Sample,Basal area (cm²),Temperature (C) ,Liana score,Tree genera,Richness,Acromyrmex octospinosus, Acromyrmex vulcanus , Anochetus bispinosus , Azteca brevis , Azteca flavigaster , Azteca forelii , Azteca instabilis , Azteca nigricans , Azteca pilosula , Azteca trigona , Brachymyrmex coactus, Brachymyrmex longicornis , Brachymyrmex pictus balboae , Camponotus atriceps , Camponotus brevis , Camponotus cameroni, Camponotus canescens, Camponotus claviscapus ,Camponotus curviscapus, Camponotus linnaei , Camponotus mucronatus , Camponotus novogranadensis , Camponotus pittieri , Camponotus planatus  , Camponotus sanctaefidei , Camponotus senex , Camponotus sericeiventris , Camponotus sp1, Camponotus sp2, Camponotus sp3, Camponotus sp4, Camponotus textor , Cephalotes atratus , Cephalotes basalis , Cephalotes christopherseni , Cephalotes cordiventris , Cephalotes foliaceus , Cephalotes grandinosus , Cephalotes maculatus , Cephalotes minutus , Cephalotes porrasi , Cephalotes setulifer , Cephalotes umbraculatus , Crematogaster acuta , Crematogaster brasileinsis , Crematogaster carinata ,Crematogaster crinosa, Crematogaster crucis , Crematogaster curvispinosa , Crematogaster limata , Crematogaster longispina ,Crematogaster raptor ,Crematogaster rochai, Crematogaster stollii , Cyphomyrmex salvini , Dolichoderus bispinosus , Dolichoderus debilis , Dolichoderus lamellosus , Dolichoderus laminatus , Dolichoderus lutosus , Eciton hamatum , Ectatomma ruidum , Ectatomma tuberculatum , Gnamptogeny cocinna , Gnamptogenys regularis  ,Monomorium pharaonis,Neivamyrmex pilosus mexicanus, Nesomyrmex anduzi ,Nesomyrmex pleuriticus, Nylandaria caeciliae , Nylandaria guatemalensis , Nylandaria sp1 , Nylandaria steinheili ,Odontomachu bauri, Odontomachus ruginodis ,Neoponera antecurvata , Neoponera carinulata , Neoponera crenata , Neoponera curvinodis , Neoponera foetida , Neoponera striatinodus , Neoponera villosa , Paraponera clavata ,Paratrechina longicornis, Pheidole bilimeki , Pheidole boliviana , Pheidole caltrop , Pheidole nr excubitor , Pheidole flavens , Pheidole perpusilla , Pheidole sp1, Pheidole sp2, Pheidole susannae , Platythyrea pilosula , Procryptocerus belti , Pseudomyrmex beccarii , Pseudomyrmex browni , Pseudomyrmex cretus , Pseudomyrmex duckei , Pseudomyrmex ejectus , Pseudomyrmex elongatus , Pseudomyrmex euryblemma , Pseudomyrmex gracilis , Pseudomyrmex ita ,Pseudomyrmex kuenckeli, Pseudomyrmex laevivertex, Pseudomyrmex oculatus , Pseudomyrmex rochai , Pseudomyrmex simplex , Pseudomyrmex sp1, Pseudomyrmex sp2, Pseudomyrmex spiculus , Pseudomyrmex tenuis, Pseudomyrmex tenuissimus , Pseudomyrmex viduus , Solenopsis picea , Solenopsis sp1 , Solenopsis sp2 , Solenopsis sp3, Solenopsis zeteki , Tapinoma litorale , Tapinoma melanocephalum , Tapinoma sp1, Technomyrmex fulvus ,Tetramorium bicarinatum, Wasmannia auropunctata , Wasmannia rochai , Xenomyrmex panamanus 
1,2874.753628,29.6,2,Dipteryx,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4901.669938,29.6,0,Dipteryx,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7481.51441,27.2,1,Dipteryx,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3536.184545,27.7,2,Dipteryx,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4382.592438,28.5,2,Dipteryx,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1506.739253,28.2,2,Dipteryx,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,759.6449577,34.3,2,Dipteryx,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6880.841894,32.9,2,Dipteryx,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,2669.481964,30.4,3,Dipteryx,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3771.866826,27.5,2,Dipteryx,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
