VinePatch_ID,Climate1,Climate2,Soil1,Soil2,Slope,Aspect,Majority,Variety,Range
P01,-1.448361087,0.455843403,2.474361097,-0.615059818,20.69357872,331.203064,2,3,3
P03,-2.505979998,1.114142009,1.53183668,0.292629913,1.031809926,99.97775269,1,2,2
P04,-0.890811624,0.670909418,2.474361097,-0.615059818,2.930293322,62.31150055,6,2,3
P05,0.318028409,0.290695558,2.474361097,-0.615059818,17.84617424,162.3738098,3,1,0
P06,-1.845988224,0.987897128,2.474361097,-0.615059818,6.89787817,265.4221191,5,3,2
P07,-1.543997937,0.770585082,-1.92790416,-2.192520018,3.102446079,77.30123138,6,1,0
P08,-1.318695472,0.790545182,-0.813889024,4.856123564,12.04155922,237.6794128,6,3,4
P09,-0.612426469,1.290728485,0.410827884,0.809701163,0.777673483,223.7288208,3,2,3
P10,-0.094526605,1.46395389,0.332698749,0.82697621,19.34497452,258.0682068,5,1,0
P11,-0.095590141,-1.379995992,0.410827884,0.809701163,7.664644718,118.7046509,2,2,1
P12,0.179992049,-1.435817385,0.410827884,0.809701163,8.585607529,100.6505432,2,3,2
P13,0.362003411,-1.224976353,0.410827884,0.809701163,21.35240936,185.4405975,3,2,2
P14,0.098438808,-0.120287822,0.410827884,0.809701163,20.0958004,318.8153076,4,3,5
P15,0.289596017,0.020773661,0.410827884,0.809701163,27.80271149,296.8465271,5,3,2
P16,0.059030822,-0.218507881,0.410827884,0.809701163,13.77605247,287.1707153,5,1,0
P17,2.374484653,0.691978831,0.410827884,0.809701163,12.97828865,175.8084259,3,1,0
P18,2.223139756,0.498600091,0.410827884,0.809701163,17.08093452,267.34021,5,3,4
P19,0.06013587,-0.439318809,-1.680209614,-1.244136815,9.97597599,257.6013489,9,2,4
P20,0.124282647,-0.492852258,0.410827884,0.809701163,14.51348972,184.6600342,6,2,3
P21,0.160630114,-0.413488483,-0.758538227,-0.691409078,12.94342613,198.6247101,4,4,4
P22,2.226074098,0.499663915,-0.813889024,4.856123564,11.74193764,263.6948242,3,3,3
P23,2.210678052,0.375542314,-0.157092146,0.07745916,1.944447041,201.2097321,5,3,3
P24,-0.144378892,0.735472236,-0.725012156,-0.654783165,9.441801071,189.994339,3,3,2
P25,2.321668766,0.445890585,-1.92790416,-2.192520018,14.51530361,220.9112854,2,3,3
P26,0.407802137,0.792477337,-1.860852206,-2.119267663,5.644544601,136.208252,5,2,3
P27,-0.537352573,0.724171991,-1.92790416,-2.192520018,5.472850323,71.24974823,5,2,1
P28,-0.085903626,0.239944938,-1.92790416,-2.192520018,6.382344246,267.7524719,6,2,1
P29,1.726138781,0.982070035,-1.92790416,-2.192520018,9.752339363,209.3406372,3,3,3
P30,-2.26842509,0.814867117,-1.145688978,1.303672253,6.153990746,204.6595917,5,4,4
P31,-0.44443383,0.248138767,-1.860852206,-2.119267663,14.29598808,248.0503845,4,3,3
P32,-1.951124732,0.55976626,-1.860852206,-2.119267663,4.049461842,268.8114014,1,2,3
P33,-0.447578828,0.259508973,-0.93712564,1.601012169,4.942715168,226.9723816,6,2,2
P34,2.696913316,1.371190483,-0.909198236,0.490388971,9.069712639,28.34067917,3,2,2
P35,2.21648765,0.29259922,-1.536796543,-0.444423763,0.901650429,307.7547607,5,2,1
P36,0.625390537,-1.49026612,-1.20779794,-1.119911905,5.094683647,315.5689697,5,3,2
P37,0.75435787,-1.608089088,-0.93712564,1.601012169,1.371838093,241.8463135,2,2,1
P38,-0.375440807,-1.707237464,-1.184820268,0.652628938,0.54447633,23.79860687,7,2,5
P39,0.246365743,-1.869321514,-0.88394891,-2.268833064,1.598981738,77.5220108,3,1,0
P40,-0.425879498,-1.609279197,-1.92790416,-2.192520018,0,-1,2,3,5
P41,-0.697222061,-1.244165379,-1.145688978,1.303672253,0,-1,3,2,2
P42,0.282093353,-0.529898075,-1.351093921,-1.920169445,11.15491486,332.4630127,5,1,0
P43,1.97536444,1.960435044,0.410827884,0.809701163,7.013753891,106.8684998,3,3,2
P44,0.007871068,-1.631773581,3.164980954,-1.050826377,16.42131042,76.44567108,2,2,4
P45,0.794654652,-0.827633457,3.164980954,-1.050826377,1.382791996,179.5660706,3,3,5
P46,0.945786166,-0.956166459,1.787904612,-0.120562319,14.86201286,287.1943054,4,2,1
P47,1.604713284,1.542943522,3.164980954,-1.050826377,8.857753754,186.5813904,5,3,3
P48,0.265943467,1.360267335,-1.145688978,1.303672253,7.648492336,106.7254181,5,2,2
P49,0.862709685,-0.935766161,-0.939474957,0.970356768,0.187104076,175.3912659,3,3,4
P50,0.493866742,-0.93739954,1.815337789,-1.456828541,0.736602366,297.139679,2,3,3
P51,2.220435355,0.238639046,NA,NA,5.225390434,255.5917969,2,2,3
P52,-1.514000421,0.137838621,0.410827884,0.809701163,0.716281176,86.66680145,2,2,2
