VinePatch_ID,Anlep,Asgan,Birep,Caame,Cacae,Camuc,Ceplum,Cepub,Cipar,Civer,Diala,Dirot,Golup,Hepur,Ipalb,Ipbat,Ipset,Iptil,Jaflu,Lapur,Malat,Medis,Mepen,Mequi,Meumb,Mifra,Mimic,Mocha,Mupru,Parub,Phcon,Phher,Phlun,Phvul,Pupha,Rhmin,Seedu,SePol,Sypod,Teunc,Thala,Thfra,Tucor,Vasca,Viade,Vihos,Vilong,Vilut,Vivex,Num_spp,Tw,Ten,AR,Sc,Native,Alien
P01,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.1,0,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.01,0,8,0.55,0.45,0,0,0.55,0.45
P03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,6,0.233,0.767,0,0,0.77,0.23
P04,0.9,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,6,0.289,0.711,0,0,0.36,0.64
P05,0,0,0,0,0,0,0,0,0,0.17,0.33,0,0.17,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.33,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,8,0.541,0.459,0,0,0.55,0.45
P06,0.5,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,8,0.375,0.438,0,0.188,0.5,0.5
P07,0,0,0,0,0,0,0,0,0,0.65,0,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,6,0.364,0.636,0,0,0.91,0.09
P08,0,0.13,0,0,0,0,0,0,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0.05,0,0.07,0,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.49,0.456,0,0.054,0.37,0.63
P09,0,0,0,0,0,0,0,0.15,0,0,0,0,0.35,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.1,0.05,0.1,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0.6,0,0,0,0,0,0,0,9,0.658,0.342,0,0,0.55,0.45
P10,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.08,0,0,0,0.42,0.08,0,0,0,0,0,0,0.33,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,7,0.923,0.077,0,0,0.6,0.4
P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.3,0,0,0,0,0.05,0.1,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.829,0.171,0,0,0.61,0.39
P12,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.35,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,5,0.936,0.064,0,0,0.46,0.54
P13,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.65,0,0,0,0,0,0,0,0.05,0,0.2,0,0.55,0,0.25,0,0,0,0,0,0.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.936,0.064,0,0,0.77,0.23
P14,0,0,0,0,0,0,0,0.05,0,0.09,0,0.14,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0.05,0.57,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,8,0.949,0.051,0,0,0.51,0.49
P15,0,0,0,0.2,0,0,0,0,0,0,0.05,0,0,0,0.15,0,0,0,0,0,0,0,0.05,0,0,0,0.35,0,0,0,0.05,0,0.05,0,0.35,0,0,0,0.15,0,0.1,0,0,0,0,0,0,0,0,10,0.7,0.167,0.133,0,0.53,0.47
P16,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.65,0,0,0,0,0,0,0,0.1,0,0,0,0.35,0,0,0.01,0,0,0.05,0,0.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,8,0.949,0.051,0,0,0.51,0.49
P17,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.15,0,0.35,0,0,0,0.05,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.966,0,0,0.034,0.79,0.21
P18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.1,0,0,0,0.45,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.923,0.077,0,0,0.62,0.38
