capture.id,animal.id,capture.season.2,bolus,herd,age.month,condition,pregnant,milk,calf.at.heel,tb.status,age.horn.residual,BHV.exposure,PI3.exposure,AD3.exposure,BRSV.Exposure,MH.exposure,MB.exposure
B57-0109,B57,wet,control,Lower Sabie,46,4,no,no,no,0,65.0737,0,1,0,0,0,1
O8-0209,O8,wet,control,Lower Sabie,79,1.5,late,no,yes,0,77.0878,0,0,0,0,1,0
B43-0209,B43,wet,control,Lower Sabie,104,3,no,yes,yes,0,68.5063,0,0,0,0,0,1
O26-0209,O26,wet,control,Lower Sabie,47,3.75,no,no,no,0,43.61995,0,0,0,0,1,0
O1-0309,O1,wet,control,Lower Sabie,68,2,no,unknown,yes,1,72.79705,0,0,0,0,0,0
O38-0309,O38,wet,bolus,Lower Sabie,37,3.75,no,no,no,0,43.61995,0,1,0,0,0,0
O11-0309,O11,wet,bolus,Lower Sabie,93,3,no,yes,yes,0,82.2367,0,0,0,0,0,0
O23-0309,O23,wet,control,Lower Sabie,48,4,no,no,no,0,46.1944,0,0,0,0,0,0
R13-0409,R13,dry,control,Crocodile Bridge,51,4.5,no,no,no,0,56.4922,0,0,0,0,0,0
R24-0409,R24,dry,bolus,Crocodile Bridge,47,2.75,no,no,no,0,57.35035,0,0,0,0,0,1
R41-0409,R41,dry,control,Crocodile Bridge,51,3.5,no,no,no,0,55.63405,0,0,0,0,1,0
Y12-0409,Y12,dry,bolus,Crocodile Bridge,66,2.5,no,no,no,0,65.0737,0,0,0,0,0,0
R25-0409,R25,dry,bolus,Crocodile Bridge,66,2.5,no,no,no,0,51.3433,0,0,0,0,0,0
R40-0409,R40,dry,control,Crocodile Bridge,35,3.25,no,no,no,0,42.7618,0,0,0,0,0,0
R6-0409,R6,dry,bolus,Crocodile Bridge,41,3.25,no,no,no,0,44.4781,0,0,0,0,0,1
Y40-0409,Y40,dry,control,Crocodile Bridge,36,3.75,no,no,no,0,44.4781,0,0,0,1,0,1
R28-0409,R28,dry,control,Crocodile Bridge,52,2.5,no,no,no,0,53.0596,0,0,0,1,0,0
Y9-0409,Y9,dry,bolus,Crocodile Bridge,52,3.25,no,no,no,0,54.7759,0,0,0,0,0,0
R27-0409,R27,dry,bolus,Crocodile Bridge,39,4.25,no,no,no,0,53.0596,0,0,0,0,0,1
R3-0409,R3,dry,control,Crocodile Bridge,66,2.5,no,yes,yes,1,72.79705,0,0,0,0,0,1
R33-0409,R33,dry,control,Crocodile Bridge,48,2.5,no,no,no,0,54.7759,0,0,0,0,0,0
R34-0409,R34,dry,control,Crocodile Bridge,30,2.75,no,no,no,0,41.0455,0,0,0,0,1,0
R37-0409,R37,dry,bolus,Crocodile Bridge,37,3,no,no,no,0,42.7618,0,0,1,0,0,1
Y8-0409,Y8,dry,control,Crocodile Bridge,51,2.5,no,no,no,0,44.4781,0,1,0,0,0,0
R44-0409,R44,dry,control,Crocodile Bridge,65,3,no,no,no,0,72.79705,0,0,1,0,0,0
R51-0409,R51,dry,bolus,Crocodile Bridge,47,4,no,no,no,0,58.2085,1,0,0,0,0,0
Y16-0409,Y16,dry,control,Crocodile Bridge,36,3.25,no,no,no,0,44.4781,0,0,0,0,0,1
Y27-0409,Y27,dry,bolus,Crocodile Bridge,60,3.5,no,no,no,0,71.9389,0,0,0,0,0,0
Y28-0409,Y28,dry,bolus,Crocodile Bridge,47,3.5,no,no,no,0,58.2085,0,0,0,0,0,0
R20-0409,R20,dry,control,Crocodile Bridge,54,2.25,no,no,no,0,48.76885,0,0,0,0,0,0
R23-0409,R23,dry,bolus,Crocodile Bridge,30,3,no,no,no,0,41.0455,0,0,0,0,1,0
W2-0409,W2,dry,bolus,Crocodile Bridge,37,3,no,no,no,0,53.0596,0,0,0,0,0,0
Y17-0409,Y17,dry,control,Crocodile Bridge,66,2.75,no,no,no,0,53.0596,0,0,0,0,0,0
R10-0409,R10,dry,bolus,Crocodile Bridge,52,4.25,no,no,no,0,44.4781,0,0,0,1,1,0
R12-0409,R12,dry,control,Crocodile Bridge,47,4,no,no,no,0,52.20145,0,0,0,0,0,0
R30-0409,R30,dry,bolus,Crocodile Bridge,67,2.75,no,no,no,0,57.35035,0,0,0,0,0,0
R36-0409,R36,dry,bolus,Crocodile Bridge,103,2.5,late,no,no,0,71.9389,0,0,0,0,0,0
R39-0409,R39,dry,control,Crocodile Bridge,41,3.5,no,no,no,0,41.90365,0,0,0,0,1,0
Y19-0409,Y19,dry,bolus,Crocodile Bridge,28,4,no,no,no,0,41.0455,0,0,0,0,0,0
Y4-0409,Y4,dry,control,Crocodile Bridge,54,4,no,no,no,0,53.91775,0,0,0,0,0,0
Y47-0409,Y47,dry,control,Crocodile Bridge,38,3.75,no,no,no,0,56.4922,0,0,0,0,0,0
R17-0409,R17,dry,bolus,Crocodile Bridge,73,2.25,no,no,no,0,63.3574,0,0,0,0,0,0
R21-0409,R21,dry,control,Crocodile Bridge,72,2.5,no,no,no,0,44.4781,0,0,0,0,0,0
R47-0409,R47,dry,bolus,Crocodile Bridge,37,4,no,no,no,0,53.0596,0,0,0,0,0,0
Y42-0409,Y42,dry,control,Crocodile Bridge,79,3.25,no,no,no,0,68.5063,0,0,0,0,0,0
R5-0409,R5,dry,bolus,Crocodile Bridge,64,3.25,no,no,no,0,59.9248,1,0,0,1,0,1
Y14-0409,Y14,dry,bolus,Crocodile Bridge,52,4.25,no,no,no,0,59.9248,0,0,0,0,0,0
R29-0509,R29,dry,bolus,Crocodile Bridge,115,2,no,yes,yes,0,54.7759,0,0,0,1,0,0
Y31-0509,Y31,dry,bolus,Crocodile Bridge,54,3.5,no,no,no,0,61.6411,0,0,1,0,0,1
R22-0509,R22,dry,bolus,Crocodile Bridge,51,4.25,no,no,no,0,58.2085,0,0,0,0,1,1
R35-0509,R35,dry,bolus,Crocodile Bridge,67,2,no,yes,yes,0,69.36445,0,0,0,0,0,0
Y26-0509,Y26,dry,control,Crocodile Bridge,30,3.25,no,no,no,0,41.0455,0,0,0,0,0,0
Y29-0509,Y29,dry,bolus,Crocodile Bridge,70,3,early,no,no,0,48.76885,0,0,0,1,0,0
R19-0509,R19,dry,control,Crocodile Bridge,42,2.5,no,no,no,0,59.9248,0,0,0,0,0,0
R31-0509,R31,dry,control,Crocodile Bridge,139,2.5,late,no,no,0,59.9248,0,0,0,0,0,0
Y36-0509,Y36,dry,control,Crocodile Bridge,65,3.25,no,no,no,0,59.06665,1,0,1,0,1,1
R52-0509,R52,dry,control,Crocodile Bridge,139,2.25,no,no,no,0,94.2508,0,0,0,0,0,0
Y10-0509,Y10,dry,control,Crocodile Bridge,66,3,no,no,no,0,43.61995,0,0,0,0,0,0
Y11-0509,Y11,dry,bolus,Crocodile Bridge,52,3,no,no,no,0,-53.351,0,0,0,0,0,0
R1-0509,R1,dry,bolus,Crocodile Bridge,61,3.5,no,no,no,0,32.464,0,0,0,0,0,1
Y32-0509,Y32,dry,control,Crocodile Bridge,39,2.75,no,no,no,0,41.0455,0,0,0,0,0,0
Y35-0509,Y35,dry,bolus,Crocodile Bridge,52,2.75,no,no,no,0,50.48515,0,0,0,0,0,0
Y6-0509,Y6,dry,bolus,Crocodile Bridge,49,2.75,no,no,no,0,51.3433,0,0,0,0,0,0
Y3-0509,Y3,dry,control,Crocodile Bridge,91,3.75,no,no,no,1,60.78295,0,0,0,0,0,0
Y43-0509,Y43,dry,bolus,Crocodile Bridge,48,3.5,no,no,no,0,58.2085,0,0,0,0,1,0
R32-0509,R32,dry,control,Crocodile Bridge,116,2.5,late,no,no,0,59.9248,0,0,0,0,0,0
R43-0509,R43,dry,control,Crocodile Bridge,127,2.25,no,no,no,0,61.6411,0,0,0,0,0,0
Y23-0509,Y23,dry,control,Crocodile Bridge,91,3,no,no,no,1,57.35035,0,0,0,0,0,0
R9-0509,R9,dry,control,Crocodile Bridge,38,3,no,no,no,0,47.9107,0,0,0,0,0,0
O2-0609,O2,dry,bolus,Lower Sabie,66,2.5,early,no,no,0,65.0737,0,0,0,0,0,0
Y13-0609,Y13,dry,control,Crocodile Bridge,39,3.75,no,no,no,0,55.63405,0,0,0,0,0,0
Y18-0609,Y18,dry,bolus,Crocodile Bridge,116,3,no,no,yes,0,65.93185,0,0,0,0,0,0
R38-0609,R38,dry,bolus,Crocodile Bridge,66,3.5,no,no,no,0,57.35035,0,0,0,0,0,1
Y22-0609,Y22,dry,bolus,Crocodile Bridge,38,4.25,no,no,no,0,28.17325,0,0,0,0,0,0
Y45-0609,Y45,dry,control,Crocodile Bridge,49,4,no,no,no,0,51.3433,0,0,0,0,1,0
B27-0609,B27,dry,bolus,Lower Sabie,40,3.5,no,no,no,0,61.6411,0,0,0,0,0,0
O9-0609,O9,dry,control,Lower Sabie,41,4,no,no,no,0,49.627,0,0,0,0,0,0
Y38-0609,Y38,dry,control,Crocodile Bridge,31,3.75,no,no,no,0,40.01572,0,0,0,0,0,0
B17-0609,B17,dry,bolus,Lower Sabie,76,4.25,early,no,no,0,61.6411,0,0,0,0,0,0
B8-0609,B8,dry,bolus,Lower Sabie,66,3.75,early,no,no,0,63.3574,0,0,0,0,0,0
