Index,OBS_UNIT,Year,DATA_STRUCT,LAT_WGS84,LON_WGS84,VOL,AGE,PROP_CONIF,SOL_RAD,EFFORT,OLD_1KM,YOUNG_1KM,TEMP_MEAN,PRECIP_TOT,Agrilus_angustulus,Agrilus_sulcicollis,Anthaxia_quadripunctata,Poecilonota_variolosa,Prionocyphon_serricornis,Sinodendron_cylindricum,Platycerus_caraboides,Cetonia_aurata,Trichius_fasciatus,Gnorimus_nobilis,Plegaderus_caesus,Plegaderus_vulneratus,Eurosoma_minor,Platysoma_angustatum,Scaphisoma_agaricinum,Scaphisoma_boreale,Scaphisoma_boleti,Stenichnus_godarti,Quedius_plagiatus,Placusa_atrata,Placusa_tachyporoides,Placusa_depressa,Placusa_incompleta,Dadobia_immersa,Atheta_picipes,Thamiaraea_cinnamomea,Dinaraea_aequata,Atheta_euryptera,Dinaraea_arcana,Anomognathus_cuspidatus,Phloeopora_corticalis,Phloeopora_testacea,Bolitochara_mulsanti,Gyrophaena_boleti,Ischnoglossa_prolixa,Ischnoglossa_elegantula,Pteryx_suturalis,Bolitochara_pulchella,Leptusa_fumida,Gyrophaena_strictula,Scydmaenus_hellwigii,Stenichnus_bicolor,Scydmoraphes_minutus,Microscydmus_minimus,Holobus_apicatus,Homalota_plana,Sepedophilus_testaceus,Euryusa_castanoptera,Staphylinus_affinis,Quedius_microps,Quedius_brevicornis,Lordithon_speciosus,Quedius_meng,Quedius_xanthopus,Lordithon_trimaculatus,Atrecus_pilicornis,Gabrius_splendidulus,Xylostiba_monilicornis,Batrisodes_venustus,Bibloporus_bicolor,Bibloporus_minutus,Actium_californicum,Euplectus_mutator,Euplectus_nanus,Euplectus_brunneus,Euplectus_piceus,Euplectus_karsteni,Euplectus_punctatus,Tyrus_mucronatus,Staphylinus_pygmaeus,Cyphea_curtula,Agaricochara_latissima,Acrulia_inflata,Staphylinus_melanocephalus,Dropephylla_ioptera,Dropephylla_linearis,Phloeonomus_punctipennis,Phloeonomus_pusillus,Phloeostiba_lapponica,Anisotoma_axillaris,Anisotoma_humeralis,Anisotoma_glabra,Anisotoma_castanea,Anisotoma_orbicularis,Agathidium_nigripenne,Nemadus_colonoides,Nudobius_lentus,Ptenidium_turgidum,Megatoma_undata,Ctesias_serra,Hadrobregmus_pertinax,Stagetus_borealis,Grynobius_planus,Dorcatoma_robusta,Dorcatoma_chrysomelina,Dorcatoma_dresdensis,Dorcatoma_punctulata,Dorcatoma_flavicornis,Stegobium_paniceum,Cacotemnus_thomsoni,Ptilinus_pectinicornis,Ptilinus_fuscus,Hemicoelus_canaliculatus,Gastrallus_immarginatus,Ernobius_abietis,Ernobius_mollis,Xestobium_rufovillosum,Ptinomorphus_imperialis,Magdalis_duplicata,Magdalis_carbonaria,Hylobius_excavatus,Hylobius_pinastri,Hylobius_abietis,Trachodes_hispidus,Pissodes_pini,Pissodes_harcyniae,Polygraphus_poligraphus,Eccoptogaster_intricata,Scolytus_ratzeburgii,Scolytus_rugulosus,Ernoporicus_caucasicus,Pityophthorus_micrographus,Pityophthorus_lichtensteinii,Dryocoetes_villosus,Ernoporus_tiliae,Dendroctonus_micans,Hylastes_brunneus,Hylastes_cunicularius,Hylurgops_glabratus,Hylurgops_palliatus,Hylastes_opacus,Phloeotribus_spinulosus,Cryphalus_asperatus,Trypophloeus_granulatus,Trypodendron_domesticum,Hylesinus_varius,Hylesinus_pilosus,Dryocoetes_alni,Crypturgus_subcribrosus,Crypturgus_hispidulus,Crypturgus_pusillus,Crypturgus_cinereus,Trypodendron_lineatum,Pityogenes_bidentatus,Bostrichus_trepanatus,Pityogenes_chalcographus,Pityogenes_quadridens,Orthotomicus_suturalis,Orthotomicus_proximus,Anisandrus_dispar,Dryocoetes_autographus,Rhyncolus_elongatus,Rhyncolus_sculpturatus,Rhyncolus_ater,Platystomos_albinus,Alosterna_tabacicolor,Leptura_quadrifasciata,Judolia_sexmaculata,Necydalis_major,Tetropium_fuscum,Tetropium_castaneum,Stenurella_melanura,Anastrangalia_sanguinolenta,Pachyta_lamed,Rhagium_mordax,Gaurotes_virginea,Rutpela_maculata,Aegomorphus_clavipes,Acmaeops_septentrionis,Rhagium_inquisitor,Paracorymbia_maculicornis,Stictoleptura_rubra,Anoplodera_sexguttata,Oxymirus_cursor,Clytus_arietis,Phymatodes_testaceus,Xylotrechus_rusticus,Callidium_coriaceum,Stenostola_dubia,Saperda_scalaris,Saperda_perforata,Pogonocherus_fasciculatus,Leiopus_nebulosus,Molorchus_minor,Triplax_russica,Corticaria_longicornis,Corticaria_lateritia,Corticaria_longicollis,Corticaria_rubripes,Stephostethus_pandellei,Latridius_consimilis,Latridius_hirtus,Enicmus_fungicola,Enicmus_planipennis,Enicmus_testaceus,Orthoperus_corticalis,Orthoperus_atomus,Nitidula_dubia,Endomychus_coccineus,Rhizophagus_dispar,Rhizophagus_parallelocollis,Rhizophagus_nitidulus,Rhizophagus_bipustulatus,Rhizophagus_ferrugineus,Rhizophagus_fenestralis,Rhizophagus_depressus,Rhizophagus_cribratus,Triplax_aenea,Cerylon_fagi,Cerylon_deplanatum,Cerylon_ferrugineum,Lyctus_histeroides,Dacne_bipustulata,Dendrophagus_crenatus,Silvanoprus_fagi,Silvanus_bidentatus,Nitidula_orbiculata,Triplax_rufipes,Lymexylon_navale,Ipidia_binotata,Cychramus_variegatus,Cychramus_luteus,Epuraea_neglecta,Epuraea_pallescens,Epuraea_rufomarginata,Epuraea_variegata,Epuraea_muehli,Epuraea_marseuli,Epuraea_contractula,Epuraea_boreella,Epuraea_pygmaea,Epuraea_angustula,Epuraea_binotata,Epuraea_terminalis,Epuraea_laeviuscula,Epuraea_thoracica,Epuraea_oblonga,Epuraea_silacea,Epuraea_deubeli,Pityophagus_ferrugineus,Glischrochilus_quadripunctatus,Glischrochilus_quadriguttatus,Cryptarcha_strigata,Cryptarcha_undata,Cucujus_cinnaberinus,Atomaria_affinis,Atomaria_atrata,Atomaria_alpina,Atomaria_subangulata,Atomaria_turgida,Atomaria_ornata,Atomaria_bella,Atomaria_umbrina,Micrambe_abietis,Cryptophagus_dorsalis,Cryptophagus_badius,Cryptophagus_subdepressus,Micrambe_longitarsis,Cryptophagus_micaceus,Pteryngium_crenatum,Cryptolestes_abietis,Cryptolestes_corticinus,Ips_typographus,Leptophloeus_alternans,Ips_rugicollis,Elateroides_dermestoides,Grynocharis_oblonga,Peltis_ferruginea,Thymalus_limbatus,Thanasimus_femoralis,Thanasimus_formicarius,Chrysomela_elongata,Dasytes_niger,Dasytes_caeruleus,Dasytes_obscurus,Dasytes_plumbeus,Aplocnemus_nigricornis,Aplocnemus_tarsalis,Nemozoma_elongatum,Mordellochroa_abdominalis,Tomoxia_bucephala,Curtimorda_maculosa,Mordella_aculeata,Mordella_holomelaena,Hadraule_elongatula,Dolichocis_laricinus,Cis_glabratus,Cis_lineatocribratus,Cis_jacquemartii,Cis_castaneus,Sulcacis_fronticornis,Cis_vestitus,Cis_bidentatus,Cis_dentatus,Cis_punctulatus,Cis_fagi,Cis_boleti,Octotemnus_glabriculus,Cis_festivus,Rhopalodontus_perforatus,Orthocis_alni,Cis_comptus,Cis_quadridens,Ennearthron_cornutus,Sulcacis_nitidus,Cis_villosulus,Cis_micans,Bolitophagus_reticulatus,Mycetochara_flavipes,Corticeus_linearis,Pseudocistela_ceramboides,Mycetochara_maura,Xylita_laevigata,Xylophilus_corticalis,Serropalpus_barbatus,Orchesia_micans,Orchesia_minor,Orchesia_undulata,Wanachia_triguttata,Pytho_depressus,Phloiotrya_rufipes,Mycetophagus_piceus,Tetratoma_ancora,Mycetophagus_populi,Mycetophagus_fulvicollis,Hallomenus_binotatus,Triphyllus_bicolor,Sphaerites_glabratus,Hallomenus_axillaris,Sphaeriestes_castaneus,Anthicus_oculatus,Schizotus_pectinicornis,Bitoma_crenata,Osphya_bipunctata,Salpingus_ruficollis,Rabocerus_foveolatus,Anaspis_thoracica,Anaspis_bohemica,Vesperus_luridus,Anaspis_flava,Conopalpus_testaceus,Anaspis_rufilabris,Anaspis_marginicollis,Mordella_frontalis,Synchita_humeralis,Hylis_cariniceps,Hylis_procerulus,Microrhagus_lepidus,Microrhagus_pygmaeus,Eucnemis_capucina,Melasis_buprestoides,Platycis_minutus,Dictyoptera_aurora,Pyropterus_nigroruber,Lygistopterus_sanguineus,Malthinus_seriepunctatus,Malthinus_flaveolus,Malthinus_frontalis,Malthinus_biguttatus,Malthodes_pumilus,Malthodes_spathifer,Malthodes_flavoguttatus,Malthodes_marginatus,Malthodes_guttifer,Malthodes_mysticus,Malthodes_fuscus,Cantharis_brevicollis,Malthodes_crassicornis,Denticollis_linearis,Crepidophorus_mutilatus,Anostirus_castaneus,Calambus_bipustulatus,Ampedus_hjorti,Elater_ferrugineus,Ampedus_pomorum,Ampedus_nigrinus,Ampedus_tristis,Ampedus_nigroflavus,Diacanthous_undulatus,Melanotus_villosus,Melanotus_castanipes,Ampedus_praeustus,Ampedus_balteatus,Danosoma_conspersum
1,s199800001,1998,Dr.S_1998,59.857415,10.993433,255,61,0.949,634274,460,22.25,1.77,10.93,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,s199800002,1998,Dr.S_1998,59.857865,10.986263,155,42,0.8,616887,660,26.72,3.43,10.8,453,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,0,0,2,0,6,0
3,s199800003,1998,Dr.S_1998,59.857529,10.98885,146,58,0.829,586362,660,25.86,2.83,10.8,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,17,0
4,s199800004,1998,Dr.S_1998,59.856623,10.987618,255,61,0.949,605244,660,25.92,2.48,10.8,453,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,72,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,s199800005,1998,Dr.S_1998,59.842702,10.99523,69,21,0.565,717149,660,46.42,5.68,10.75,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,9,0,0,0,2,0,2,0
6,s199800006,1998,Dr.S_1998,59.840904,10.987626,98,29,0.684,693456,660,48.46,5.45,10.8,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,0,0,0
7,s199800007,1998,Dr.S_1998,59.841929,10.985171,98,29,0.684,732012,660,43.61,5.6,10.63,466,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
8,s199800008,1998,Dr.S_1998,59.838524,10.995944,107,76,0.86,667501,660,59.6,5.38,10.83,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
9,s199800009,1998,Dr.S_1998,59.838451,11.000758,116,85,0.897,684340,660,63.3,4.79,10.77,455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,s199800010,1998,Dr.S_1998,59.8367,11.004829,140,93,0.907,624138,660,67.5,3.19,10.77,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
