Longitude,Latitude,Sorex_araneus,Sorex_minutus,Crocidura_russula,Crocidura_leucodon,Suncus_etruscus,Sorex_coronatus,Crocidura_suaveolens,Bio01,Bio02,Bio08,Bio15,Bio18,Bio19
5.586766941,45.11126146,1,1,1,0,0,1,1,10.12921874,9.335780111,10.53796292,18.06635136,229.6666666,231.7777777
9.125428654,46.14637369,1,1,1,1,1,0,1,9.224645848,8.422315113,13.6424974,28.77785058,393.3125,203.1875
14.57731025,46.36742399,1,1,0,0,0,0,0,7.026546288,8.90854627,13.14800001,25.54031086,454.3333333,250.5555555
7.284546333,46.74614304,1,0,1,0,0,0,0,7.342599798,8.325085069,12.70038539,15.86114553,334.4166666,261.8333333
12.81048015,47.37424628,1,0,0,0,0,0,0,2.619288188,7.466071751,10.54474997,29.80769767,476.5555555,234.4444444
10.95794406,47.40630426,1,1,0,0,0,0,0,6.379967891,8.076456618,14.29252085,36.26948523,493,207.4166666
7.251745853,47.37583535,1,1,1,0,0,1,0,8.445229158,8.286976846,14.9229769,15.58555438,325.6666666,243.7777777
8.166660218,47.71017475,1,0,0,0,0,1,0,8.368795136,8.431757004,8.341722191,13.68842638,332.3333333,331.6666666
12.82764447,47.68899891,1,1,0,0,0,0,0,5.986362285,7.937752342,14.03128705,32.84956895,488.4444444,234.5555555
11.42994511,47.71618735,1,0,0,0,0,0,0,6.271254607,7.934018518,14.20601846,36.04793108,495.3333333,208.1111111
9.098874553,47.72181683,1,0,1,0,0,0,0,8.802641494,7.851293425,17.17769095,26.08668718,348.4166666,192.5833333
11.89598885,47.7091075,1,0,0,1,0,0,0,6.661702248,7.915380226,14.68859026,34.66377351,486.6666666,214
9.562408221,48.03961566,1,0,0,1,0,0,0,7.90427863,8.032942699,15.85715618,27.66256491,314.5,169
12.37646797,48.01482362,1,0,0,0,0,0,0,8.265299485,8.451414863,16.77957994,32.42711305,402.4166666,188.75
7.686546963,48.01616695,1,1,0,1,0,0,1,8.84761719,8.006062497,11.39778126,14.8119626,310.25,298.75
11.43877012,48.03108158,1,0,0,1,0,0,1,8.177609359,8.327989582,16.55138884,34.6020765,404,176.0833333
16.15573419,48.18376382,1,0,1,1,0,0,0,9.395638033,8.277300312,18.05409027,32.55361993,227.75,99.41666666
11.91957114,48.33874781,1,0,0,0,0,0,0,8.328374169,8.416241389,16.92846536,30.25691852,306.0833333,150.1666666
12.88078345,48.63295427,1,0,1,1,0,0,1,7.501144534,7.994338547,16.13455991,21.5112778,307.5,221.9375
9.55409404,48.98421628,1,1,0,1,0,0,1,8.991446184,8.360621529,15.6361215,18.56179317,263.1666666,194.9166666
11.95637934,49.28287721,1,1,0,1,0,0,1,7.943812519,7.845816012,16.66861461,19.87448224,246.75,180.8333333
9.55123276,49.29900344,0,0,1,0,0,0,0,9.089541645,8.240129685,11.86670365,13.09287695,228.6666666,219.7777777
11.48506107,49.60490342,1,0,0,0,0,0,0,7.832722227,7.937407438,15.81253704,14.84138773,256.2222222,224.8888888
11.00750611,49.92491754,1,0,0,1,0,0,0,8.291949851,8.26963409,15.84255988,16.25785323,218.125,181.125
10.03276363,49.92937683,1,1,0,1,0,0,1,8.666647143,7.921677085,7.774333395,14.59416602,199.25,203.25
7.580671428,50.21846996,0,0,1,1,0,0,0,9.24299769,7.757310187,12.66304159,11.76115459,205.8888888,183.3333333
8.561284126,50.23502257,1,1,1,1,0,0,0,8.922622673,7.590541668,12.06184263,12.95167257,190.7777777,178
8.070899457,50.22779778,1,0,1,0,0,0,1,8.573839095,7.615650431,8.755902753,12.32094608,193.2222222,194.5555555
11.01416394,50.23957735,1,0,0,0,0,0,0,7.376824623,7.563468739,10.69486451,13.76250408,241.0833333,218.8333333
10.52359335,50.24287647,1,1,0,1,0,0,1,7.849594871,7.824726829,14.20920829,14.45175628,215.8888888,193
10.03298018,50.24407057,1,0,0,1,0,0,0,7.856488687,7.282123213,1.00046182,15.41193313,221.25,256.8333333
12.00832706,50.54119769,1,0,1,0,0,0,0,7.014162326,7.829383712,14.07697573,18.54447073,251.5833333,191.75
10.03320033,50.55873581,1,0,0,1,0,0,0,7.856488687,7.282123213,1.00046182,15.41193313,221.25,256.8333333
12.99505697,50.51971157,1,1,0,1,0,0,1,6.331631071,7.29459199,14.75551036,24.81619835,277.9166666,166.9166666
11.02093276,50.55420809,1,0,0,0,0,0,0,7.376824623,7.563468739,10.69486451,13.76250408,241.0833333,218.8333333
4.609218472,50.43212989,1,1,1,1,0,0,0,9.586575217,7.580849514,10.28486098,10.31136651,213.7777777,196.6666666
12.5017954,50.53151349,1,0,1,0,0,0,0,6.574362281,7.213835643,14.90063888,23.77442572,269,165.1111111
10.52708838,50.55753254,1,0,0,0,0,0,0,7.849594871,7.824726829,14.20920829,14.45175628,215.8888888,193
11.5146926,50.5487629,1,1,1,1,0,0,0,7.152019673,7.63665045,10.37459719,14.63043172,249.3333333,220.5555555
12.51864686,50.84594171,1,0,1,0,0,0,0,8.377618892,7.961373207,16.61756585,28.80453954,247.1666666,135.5833333
13.01522215,50.83404844,1,0,0,1,0,0,1,7.754122378,7.758437481,16.13090361,26.26115044,262.0625,159.25
